PUSTAK,author,DATE,books-eng,author-eng
हिन्दी - शब्द कल्पतरू,सं. रामनरेश त्रिपाठी,1925,Hindi - Shabd Kalpataru,Sa. Ramnaresh Tripathi
भारत के कारखाने,चतुर्भुज औदीच,1968,Bharat ke Karkhane,Chaturbhuj Audich
अनेकार्थ और नाममाला,नंददास,1913,Anekarth aur Namamala,Nanddas
अनेकार्थ और नाममाला,नंददास,1913,Anekarth aur Namamala,Nanddas
हिन्दी मराठी कोष,नारायण,1929,Hindi Marathi Kosh,Narayan
राजनीतिक शब्दावली,भगवान दास केला,1927,Rajneetik Shabdavali,Bhagwan Das Kela
लोकोक्ति कोष,विश्वम्भरनाथ खत्री,1980,Lokokti Kosh,Vishwambharnath Khatri
पद्म चन्द्र कोष,गणेशदत्त शास्त्री,1925,Padm Chandra Kosh,Ganeshdatt Shastri
भारतीय नरेश,जगदीश सिंह गहलोत,1980,Bharatiya Naresh,Jagdish Singh Gehlot
गीता सूची,सं. गीता प्रेस,1987,Geeta Suchi,Sa. Geeta Press
हिन्दी गुजराती कोष,गणेश दत शर्मा,1924,Hindi Gujarati Kosh,Ganesh Dat Sharma
श्रीधर भाषा कोष,श्रीधर त्रिपाठी,1919,Shridhar Bhasha Kosh,Shridhar Tripathi
हिन्दी शब्दार्थ पारिजात,द्वारका प्रसाद शर्मा,1823,Hindi Shabdarth Parijat,Dwaraka Prasad Sharma
हिन्दुस्तानी कोष,रामनरेश त्रिपाठी,1933,Hindustani Kosh,Ramnaresh Tripathi
मातृभूमि अब्दकोश 30,र0 वि0 धुलेकर,1930,Matribhoomi Abdkosh 30,R0 Vi0 Dhulekar
कहावत कल्पद्रुम,खेमराज कृष्णदास,1954,Kahawat Kalpadrum,Khemraj Krishnadas
हिन्दी वैज्ञानिक कोष,श्याम सुन्दर दास,1906,Hindi Vaigyanik Kosh,Shyam Sundar Das
विनय कोष,महावीर प्रसाद मालवीय,1980,Vinay Kosh,Mahavir Prasad Malviya
हिन्दी मुहावरे,रामदहिन मिश्र,------,Hindi Muhavare,Ramdahin Mishra
राज कोष,राजाराम,2000,Raj Kosh,Rajaram
शासन शब्द संग्रह,मालोजीराव शितोले,2000,Shasan Shabd Sangrah,Malojirao Shitole
लोकोक्ति संग्रह,रामरत्न,1977,Lokokti Sangrah,Ramratn
हिन्दी विश्व कोष भाग-1,नगेन्द्रनाथ बसु,1973,Hindi Vishva Kosh Bhag-1,Nagendranath Basu
हिन्दी विश्व कोष भाग-2,नगेन्द्रनाथ बसु,1973,Hindi Vishva Kosh Bhag-2,Nagendranath Basu
हिन्दी विश्व कोष भाग-3,नगेन्द्रनाथ बसु,1973,Hindi Vishva Kosh Bhag-3,Nagendranath Basu
हिन्दी विश्व कोष भाग-4,नगेन्द्रनाथ बसु,1973,Hindi Vishva Kosh Bhag-4,Nagendranath Basu
हिन्दी विश्व कोष भाग-5,नगेन्द्रनाथ बसु,1973,Hindi Vishva Kosh Bhag-5,Nagendranath Basu
हिन्दी विश्व कोष भाग-6,नगेन्द्रनाथ बसु,1973,Hindi Vishva Kosh Bhag-6,Nagendranath Basu
हिन्दी विश्व कोष भाग-7,नगेन्द्रनाथ बसु,1973,Hindi Vishva Kosh Bhag-7,Nagendranath Basu
हिन्दी विश्व कोष भाग-9,नगेन्द्रनाथ बसु,1973,Hindi Vishva Kosh Bhag-9,Nagendranath Basu
हिन्दी विश्व कोष भाग-10,नगेन्द्रनाथ बसु,1973,Hindi Vishva Kosh Bhag-10,Nagendranath Basu
हिन्दी विश्व कोष भाग-11,नगेन्द्रनाथ बसु,1973,Hindi Vishva Kosh Bhag-11,Nagendranath Basu
हिन्दी विश्व कोष भाग-12,नगेन्द्रनाथ बसु,1973,Hindi Vishva Kosh Bhag-12,Nagendranath Basu
हिन्दी विश्व कोष भाग-13,नगेन्द्रनाथ बसु,1973,Hindi Vishva Kosh Bhag-13,Nagendranath Basu
हिन्दी विश्व कोष भाग-14,नगेन्द्रनाथ बसु,1973,Hindi Vishva Kosh Bhag-14,Nagendranath Basu
हिन्दी विश्व कोष भाग-15,नगेन्द्रनाथ बसु,1973,Hindi Vishva Kosh Bhag-15,Nagendranath Basu
हिन्दी विश्व कोष भाग-16,नगेन्द्रनाथ बसु,1973,Hindi Vishva Kosh Bhag-16,Nagendranath Basu
हिन्दी विश्व कोष भाग-17,नगेन्द्रनाथ बसु,1973,Hindi Vishva Kosh Bhag-17,Nagendranath Basu
हिन्दी विश्व कोष भाग-18,नगेन्द्रनाथ बसु,1973,Hindi Vishva Kosh Bhag-18,Nagendranath Basu
हिन्दी विश्व कोष भाग-20,नगेन्द्रनाथ बसु,1973,Hindi Vishva Kosh Bhag-20,Nagendranath Basu
हिन्दी विश्व कोष भाग-21,नगेन्द्रनाथ बसु,1973,Hindi Vishva Kosh Bhag-21,Nagendranath Basu
हिन्दी विश्व कोष भाग-22,नगेन्द्रनाथ बसु,1973,Hindi Vishva Kosh Bhag-22,Nagendranath Basu
हिन्दी विश्व कोष भाग-23,नगेन्द्रनाथ बसु,1973,Hindi Vishva Kosh Bhag-23,Nagendranath Basu
हिन्दी विश्व कोष भाग-25,नगेन्द्रनाथ बसु,1973,Hindi Vishva Kosh Bhag-25,Nagendranath Basu
औषधि कोष,रूपलाल वैश्य,1934,Aushdhi Kosh,Rupalal Vaishya
हिन्दी मुहावरे,ब्रह्मस्वरूप शर्मा,1938,Hindi Muhavare,Brahmaswaroop Sharma
हिन्दी शब्द सागर भाग-1,श्यामसुन्दर दास,1923,Hindi Shabd Sagar Bhag-1,Shyamsundar Das
हिन्दी शब्द सागर भाग-4,श्यामसुन्दर दास,1916,Hindi Shabd Sagar Bhag-4,Shyamsundar Das
हिन्दी शब्द सागर भाग-5,श्यामसुन्दर दास,1916,Hindi Shabd Sagar Bhag-5,Shyamsundar Das
हिन्दी शब्द सागर भाग-6,श्यामसुन्दर दास,1923,Hindi Shabd Sagar Bhag-6,Shyamsundar Das
हिन्दी शब्द सागर भाग-7,श्यामसुन्दर दास,1923,Hindi Shabd Sagar Bhag-7,Shyamsundar Das
हिन्दी शब्द सागर भाग-8,श्यामसुन्दर दास,1923,Hindi Shabd Sagar Bhag-8,Shyamsundar Das
हिन्दी शब्द संग्रह,श्रीवास्तव व सहाय,1987,Hindi Shabd Sangrah,Shrivastav va Sahay
हिन्दी पर्यायवायी कोष,श्रीकृष्ण शुक्ल,1992,Hindi Paryayvayi Kosh,Shrikrishna Shukla
पाइअ-सद्य-महण्णवो -2,हरगोविन्द सिंह,1924,Paia-Sadya-Mahannavo -2,Hargovind Singh
पाइअ-सद्य-महण्णवो -3,हरगोविन्द सिंह,1925,Paia-Sadya-Mahannavo -3,Hargovind Singh
पाइअ-सद्य-महण्णवो -4,हरगोविन्द सिंह,1928,Paia-Sadya-Mahannavo -4,Hargovind Singh
अद्वैतामृतम,रामचन्द्र,1978,Advaitamritam,Ramchandra
माता,अरविन्द,1988,Mata,Arvind
आत्म विद्या,माधव राव सप्रे,-----,Atma Vidya,Madhav Rao Sapre
चन्द्रकान्त 1,इच्छा राम देसाई,1928,Chandrakant 1,Ichha Ram Desai
चन्द्रकान्त 2,इच्छा राम देसाई,1927,Chandrakant 2,Ichha Ram Desai
चन्द्रकान्त 3,इच्छा राम देसाई,1938,Chandrakant 3,Ichha Ram Desai
मुक्ति मार्ग,जेम्स एलच,1915,Mukti Marg,James Elch
भगवान क्या है,जय दयाल गोयनका,----,Bhagwan Kya Hai,Jay Dayal Goenka
वैज्ञानिक अद्वैतवाद,रामदास गौड़,1977,Vaigyanik Advaitavad,Ramdas Gaur
राजयोग,रामचारक,1988,Rajyog,Ramcharak
राजयोग,रामचारक,1988,Rajyog,Ramcharak
संक्षिप्त कर्मयोग,गोपाल,1929,Sankshipt Karmyog,Gopal
आध्यात्मिकी,महावीर प्रसाद द्विवेदी,1927,Adhyatmiki,Mahavir Prasad Dwivedi
कर्मयोग,अश्विनी कुमार दत्त,1980,Karmyog,Ashwini Kumar Dutt
कर्मयोग और जन्मांतर,हीरेन्द्र नाथदत्त,1986,Karmyog aur Janmantar,Heerendranath Dutt
तत्व चिंतामणि का-2,जयदयाल गोयनका,1990,Tatva Chintamani ka-2,Jaydayal Goenka
भक्तियोग,अश्विनी कुमार दत्त,1978,Bhaktiyog,Ashwini Kumar Dutt
ब्रह्मदर्शन,जानकी नाथ,1925,Brahmadarshan,Janki Nath
मन की कुंजी,शाह महाराज,----,Man Ki Kunji,Shah Maharaj
सत् विचार,भीम सैन रामा मित्र,1981,Sat Vichar,Bhim Sen Rama Mitra
सत् विचार,भीम सैन रामा मित्र,1981,Sat Vichar,Bhim Sen Rama Mitra
विश्व प्रपंच भाग-2,रामचन्द्र शुक्ल,1978,Vishva Prapanch Bhag-2,Ramchandra Shukla
आनन्द मार्ग,सरजू प्रसाद वाजपेयी,1958,Anand Marg,Sarju Prasad Vajpayee
राजयोग,स्वामी विवेकानंद,----,Rajyog,Swami Vivekanand
आध्यात्मिक शिक्षावली-1,स्वामी शिवानंद सर0,1941,Adhyatmik Shikshavali-1,Swami Shivanand Sar0
रामतीर्थ ग्रंथावली 1,स्वामी रामतीर्थ,1919,Ramteerth Granthavali 1,Swami Ramteerth
"रामतीर्थ ग्रंथावली भाग- 7,8",स्वामी रामतीर्थ,1921,"Ramteerth Granthavali Bhag- 7,8",Swami Ramteerth
रामतीर्थ ग्रंथावली भाग- 11,स्वामी रामतीर्थ,1921,Ramteerth Granthavali Bhag- 11,Swami Ramteerth
रामतीर्थ ग्रंथावली भाग-12,स्वामी रामतीर्थ,1921,Ramteerth Granthavali Bhag-12,Swami Ramteerth
रामतीर्थ ग्रंथावली भाग-13,स्वामी रामतीर्थ,1922,Ramteerth Granthavali Bhag-13,Swami Ramteerth
रामतीर्थ ग्रंथावली भाग-14,स्वामी रामतीर्थ,1922,Ramteerth Granthavali Bhag-14,Swami Ramteerth
रामतीर्थ ग्रंथावली भाग-15,स्वामी रामतीर्थ,1922,Ramteerth Granthavali Bhag-15,Swami Ramteerth
रामतीर्थ ग्रंथावली भाग-16,स्वामी रामतीर्थ,1922,Ramtirth Granthavali Bhag-16,Swami Ramteerth
रामतीर्थ ग्रंथावली भाग- 17;18,स्वामी रामतीर्थ,1922,Ramtirth Granthavali Bhag-17;18,Swami Ramteerth
रामतीर्थ ग्रंथावली भाग-21,स्वामी रामतीर्थ,1922,Ramtirth Granthavali Bhag-21,Swami Ramteerth
रामतीर्थ ग्रंथावली भाग-25,स्वामी रामतीर्थ,1924,Ramtirth Granthavali Bhag-25,Swami Ramteerth
रामतीर्थ ग्रंथावली भाग-26,स्वामी रामतीर्थ,1924,Ramtirth Granthavali Bhag-26,Swami Ramteerth
रामतीर्थ ग्रंथावली भाग-27,स्वामी रामतीर्थ,1924,Ramtirth Granthavali Bhag-27,Swami Ramteerth
रामतीर्थ ग्रंथावली भाग-28,स्वामी रामतीर्थ,1924,Ramtirth Granthavali Bhag-28,Swami Ramteerth
वृति प्रभाकर,कृष्णदास खेमराज,----,Vriti Prabhakar,Krishnadas Khemraj
श्री विचार सार,निश्चल दास,1974,Shri Vichar Saar,Nischal Das
वेदान्त स्तोत्र संग्रह,स्वामी परमानन्द,1912,Vedant Stotra Sangrah,Swami Parmanand
सद् गुरू रहस्य,कोशलेन्द्र प्रताप,1982,Sad Guru Rahasya,Koshalendra Pratap
आत्मोपदेश,नरेन्द्र नारायण,1980,Atmopdesh,Narendra Narayan
आत्मोपदेश,नरेन्द्र नारायण,1980,Atmopdesh,Narendra Narayan
आत्मोपदेश,नरेन्द्र नारायण,1980,Atmopdesh,Narendra Narayan
अष्टावक्र गीता,जालिम सिंह,1935,Ashtavakra Gita,Jalim Singh
विवेक चूड़ामणि,म. शंकराचार्य,1988,Vivek Chudamani,M. Shankaracharya
विवेक चूड़ामणि,म. शंकराचार्य,1907,Vivek Chudamani,M. Shankaracharya
प्रश्न उपनिषद,राजाराम,1971,Prashn Upanishad,Rajaram
वृहदारण्यक उपनिषद,राजाराम,1970,Brihadaranyak Upanishad,Rajaram
मुण्डक उपनिषद,राजाराम,1971,Mundak Upanishad,Rajaram
अवतार मीमांसा,अम्बिका दत्त व्यास,1956,Avatar Mimansa,Ambika Dutt Vyas
कठोषनिषद,भीमसेन शर्मा,1917,Kathopanishad,Bhimsen Sharma
गीता संग्रह,भीमसेन शर्मा,1911,Gita Sangrah,Bhimsen Sharma
एतरेय उपनिषद,राजाराम,1974,Aitareya Upanishad,Rajaram
वैत्तरीय उपनिषद्,राजाराम,1915,Taittiriya Upanishad,Rajaram
वेदान्त रहस्य,हीरेन्द्र नाथ दत्त,1994,Vedant Rahasya,Heerendranath Dutt
प्रवचन सार टीका,शीलत प्रसाद जी,1923,Pravachan Saar Tika,Shilat Prasad Ji
अध्यात्म भागवत संग्रह,नित्यानन्द पाण्डेय,----,Adhyatma Bhagwat Sangrah,Nityanand Pandey
आत्मबोध,शंकराचार्य,1980,Atmabodh,Shankaracharya
शांतिदायी विचार,शिवकुमार शास्त्री,----,Shantidayi Vichar,Shivkumar Shastri
मोक्ष मार्ग,जेम्स एलेन,2006,Moksh Marg,James Allen
सफलता,शिवनारायण,1922,Safalta,Shivnarayan
सफलता की कुंजी,रामकृष्ण परमहंस,1918,Safalta Ki Kunji,Ramkrishna Paramhans
अपने हितैषी बनो,दयाचंद गोयलीय,1919,Apne Hitaisi Bano,Dayachand Goyliya
सुख सफलता के मूल सि.,जेम्स एलेन,1918,Sukh Safalta Ke Mool Si.,James Allen
आत्म संयम,जगपति चतुर्वेदी,1940,Atma Sanyam,Jagpati Chaturvedi
कर्मक्षेत्र,शशिभूषण सेन,1917,Karmakshetra,Shashibhushan Sen
मेरे अंत समय के विचार,परमानंद,----,Mere Ant Samay Ke Vichar,Parmanand
तत्व चिंतामणि भा0 4,जयदयाल गोयन्दका,2007,Tattva Chintamani Bha0 4,Jaydayal Goyandka
तत्व चिंतामणि भा -5,जयदयाल गोयन्दका,2007,Tattva Chintamani Bha-5,Jaydayal Goyandka
तत्व चिंतामणि भा0-6,जयदयाल गोयन्दका,2007,Tattva Chintamani Bha0-6,Jaydayal Goyandka
तत्व चिंतामणि भा0-7,जयदयाल गोयन्दका,2007,Tattva Chintamani Bha0-7,Jaydayal Goyandka
तत्व चिंतामणि भा0-8,जयदयाल गोयन्दका,2007,Tattva Chintamani Bha0-8,Jaydayal Goyandka
सद्दर्शन :,हरिशंकर उपाध्याय,1911,Saddarshan :,Harishankar Upadhyay
